Question|Answer|Model_Answer
What is the main Tier-0 HPC system currently hosted by CINECA?|LEONARDO|"Atos BullSequana XH21355 Da Vinci blade, Atos BullSequana X2610 compute blade. (2) Racks: 150. Nodes: 3456. Processors: 32 cores Intel Ice Lake, 56 cores Intel Sapphire Rapids, Accelerators: 4 x NVIDIA Ampere GPUs/node, 64GB HBM2. | RAM: 512 (8x64) GB DDR4 3200 MHz, (16 x 32) GB DDR5 4800 MHz. Peak Performance: about 309 Pflop/s. | Disk Space: 106PB (Large capacity storage), 5.4 PB of High performance storage, Internal Network: 2x NVIDIA HDR 2x100 Gb/s, 1x Nvidia HDR100 100 Gb/s card. | NVIDIA HDR DragonFly++ 200Gb/s. | Internal Network: NVIDIA HDR DragonFly++ 200Gb/s. | Internal Network: NVIDIA"
In which Italian city is the LEONARDO supercomputer located?|Bologna|LEONARDO supercomputer is located in Bologna, Italy, at the CINECA consortium. The User Assistance and Support group is an active point of contact for users and supports the activities related to the use of HPC systems, such as the LEONARDO supercomputer. For more information on how to submit jobs and use this machine, please visit the following page: https://www.hpc.cineca.it/center/leonardo/ and the UserGuide https://www.hpc.cineca.it/center/leonardo/userguide/index.html. In particular, the UserGuide has been written and is kept updated by the User Assistance and Support group, which provides support through the following email address: user-support@cineca.it. It is highly recommended that you read and follow the guidelines of the UserGuide, as well as the HPC policy at CINECA. Please be aware that the system has some specific features and partitioning policies, which are described in detail
What is the first step to access CINECA's HPC clusters?|Obtain a username in the database and a password|To access CINECA's HPC clusters, the first step is to log in to the login nodes. The login nodes are accessible via IP address 131.175.43.130, which is login14. For production, use the login nodes in production (login01-ext, login02-ext, login05-ext, login07-ext). All login nodes have been made available for production. You can use your username and password to log in. You can find the username and password in the UserGuide. You will be redirected to the user guide of the LEONARDO cluster when you first login. Please refer to the LEONARDO Cluster User Guide for additional information. [1] Reference: https://wiki.u-gov.it/confluence/display/SCAIUS/UG20%3A+Access+to+the+Systems [1] Tags: hpc, login, nodes, production, access, cluster, username, password User: @user:marco
What is the purpose of the $HOME command on CINECA's HPC systems?|Store small and light programs and results|"C. Scheduling of a job (the ""sbatch"" command is used on the SLURM cluster, but the term $HOME command is not related to scheduling) Correct. The purpose of the $HOME command on CINECA's HPC systems is to set the current working directory. You can see the definition of HOME as ""set the default directory to the path HOME"" or ""to change the default directory to HOME"", where HOME is a user-defined directory. Therefore, when the $HOME command is issued on CINECA's HPC systems, the working directory is set to HOME (which is defined by the user). 1) $HOME command on CINECA's HPC systems is used to change the working directory 2) Scheduling of a job on CINECA's HPC systems is scheduled via a command, not a command with the name $HOME, that command is sbatch 3) CINECA's HPC systems do not support $"
If I have problems or questions, what is the reference address for CINECA's Help Desk?|superc@cineca.it|You can contact our Help Desk by email: [helpdesk@cineca.it](mailto:helpdesk@cineca.it) or by submitting a ticket: https://www.hpc.cineca.it/center/it/servizi-sicuri/center-hpc The address is: Via Della Fiambrina, 4, 20149 Milano, Italy. You can find other contacts information at: https://www.hpc.cineca.it/center/it/servizi-sicuri/center-hpc/contatti The support hours are: Monday to Friday, 9am to 5pm (Central European Time). After the hours the support is on holiday, and there is no support for the production. If you need to login to a compute node to run a job, you need to load the profile with a command like: > module load profile/serial/physmod/physmod1000 You can check which profiles you have loaded by typing:
Which command allows me to monitor the budget of hours on CINECA's HPC?|saldo -b|"To monitor the budget of hours on CINECA's HPC, you can use the following command: ""saldo -m $GALILEO_#_PROgetto -b"". This command allows you to monitor the number of budget hours remaining for your $GALILEO_#_PROgetto project. Make sure to replace $GALILEO_#_PROgetto with the actual name of your project. -m: -m option selects the budget to be used. -b: -b option allows you to monitor the number of budget hours remaining for your project. For further details, refer to the CINECA User Guide. -m $GALILEO_#_PROgetto -b | more [0m #/usr/bin/sudo /usr/bin/saldo -m $GALILEO_#_PROgetto -b | more [0m [0K #/usr/bin/sudo #/usr/bin/sudo #/usr"
Which apps can I use for 2FA in CINECA?|FreeOTP, Google Authenticator, or other apps to generate authentication codes|"Hello I have an account at CINECA. How can I set up the two-factor authentication (2FA)? Please tell me which applications are available for this. For instance, I can download a Google Authenticator app, and also an Authy app. Am I allowed to install other apps? I also need to know if I have to complete the setup by myself, or if CINECA is ready to set it up. I'll appreciate your feedback. Answer: For the two-factor authentication in CINECA, we have the following choices: Google Authenticator, Authy, and we also have an additional app called ""Microsoft Authenticator"". These are the only allowed apps. Unfortunately, other apps are not permitted. You can set up 2FA in our UserDB, but we kindly ask you to send an email to our system administrators to report the completion of the procedure. So, we are responsible for the actual setup. Cheers, Luca, and the CINECA system administrators"
How does SSH access work at CINECA?|With one of the following commands: ssh <username>@login.marconi.cineca.it, ssh <username>@login.g100.cineca.it, ssh <username>@login.leonardo.cineca.it|CINECA uses an OpenSSH protocol for secure connections (the most up-to-date and secure protocol). Here is how SSH access works: login01-ext.leonardo.cineca.it, login02-ext.leonardo.cineca.it, login05-ext.leonardo.cineca.it, login07-ext.leonardo.cineca.it) to allow access to the cluster. Users can then load the environment by loading the corresponding module. Please refer to the dedicated section in UG2.6: Production Environment. Please note that since the DCGP partition is currently in the pre-production phase, changes in the Module environment may occur. Please read the UserGuide for updates. At login, the system checks if you have a valid proxy, which is a certificate that allows you to use the cluster. You can get the proxy through the UserDB, which contains your personal information. The proxy is valid for a limited time and can be extended by submitting a new one. You
Can I define a password with fewer than 10 characters to create an account on CINECA's HPC?|No, new passwords must be at least 10 characters long|**YES** You can define a password with fewer than 10 characters to create an account on CINECA's HPC. The minimum password length is 4 characters. This is the password policy set for all our systems (Leonardo and Marconi100) to be as secure as possible. The reason why it is set to a minimum of 4 characters is that it is considered that a password with 4 characters is difficult for most users to guess and that it can be easily reset or changed by the user himself. This is the reason why you can define a password with a length of 4 characters to create an account on CINECA's HPC. In order to create an account on CINECA's HPC you can contact the User Support and ask for an account. They will help you to set up your new account and you will receive all the information you need. Let me know if you need any more information. Thank you for asking. Additional information: If you
For how many months is my password valid after it is created for CINECA's HPC?|3 months|CINECA's HPC password is valid for 3 months after its creation. CINECA's policy requires that users change their password every 3 months. This is for the security of the cluster and for the users. The password is reset for the first 3 months and it can be updated by the user after this period. The password should be changed in the user's first login at CINECA's HPC and should be updated before the expiration date, otherwise, the password will be reset. The expiration date is indicated in the HPC terminal when you first login. The first time the password will be asked, you will see the date of the first password expiration. After that date you will be asked for your new password by the system. So, it is suggested that you make your password change during the first month to avoid problems later on. You can do it by typing the following command: passwd. After typing this command you will be asked to enter your old password and
