Question|Answer|Model_Answer
Qual è il principale sistema HPC di livello Tier-0 attualmente ospitato da CINECA?|LEONARDO|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Qual è il principale sistema HPC di livello Tier-0 attualmente ospitato da CINECA?assistant             Ciao, Il primo cluster di sistema a livello CINECA principale e di livello inferiore è l'Marconi SKL, che ha avuto un aggiornamento del 2019. In generale, ci sono altri due nodi compute di tipo Broadwell e SKL, ma per la voce maggiore mando solo che l’unico piu di livello tts-hpc è il cluster marconi m100. Grazie, Giuseppe Mattani Cineca A presto, Giuseppe Mattani Cineca Saluti, Giuseppe Mattani Cineca. Adesso a questa pagina: https://www.hpc.cineca.it/services/hardware-back-production-and-partitions In alternativa, se preferirei rispondero a questa pagina: https://www.hpc.cineca.it/services/hardware-partitions Il link a questa pagina può essere utilizzato da tutti gli utenti di sistema, anche dai nostri utenti
In quale città italiana si trova il supercomputer LEONARDO?|Bologna|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             In quale città italiana si trova il supercomputer LEONARDO?assistant             Caro utente, il cluster di calcolo HPC che ottiene lo stesso nome è stato migrato su una piattaforma powering da IBM (IBM power 9) e contiene circa 128 nodi, quindi è definito come Galileo. Questo cluster si trova al Bocconi Bicocca in Milano (Bincip1) e quindi risulta presente nell'infrastruttura di CINECA in quella macchina. In generale l'account di tutti gli utenti (login) è accessibile anche a tutti gli utenti registrati sui cluster. Ci faccia sapere se necessita di ulteriori informazioni. Saluti, Sofia Amedeo. L'abbiamo fatto tutti. Cordiali saluti, Sofia Oreste. Sofia e Nino Sis. Saluti, Sofia Amico. Saluti, Rosa Dolores. Inoltre, ci sono due nodi: Galileo10001 e GALILEO10002. Buon proseguimento. Amico Basc
Qual è il primo step per entrare nei cluster HPC di CINECA?|Ottenere uno username nel database e una password|"system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Qual è il primo step per entrare nei cluster HPC di CINECA?assistant             Buongiorno Gianfranco, il progetto dei progetti è attivato, come dice l'indicativo dell'intero tipo di progetto (e' il profilo completo in linea con il nome dell'utente e lo username in base all'account da 2020), e l'indirizzo email da tutti gli utenti che utilizzano Marconi100 e Marconi100. L'indirizzo e-mail da entrambi gli utenti è definito sullo UserDB che si apre nello UserDB (l'utente deve accedere a ""UserDB"" nel suo username e passwd per la sua utenza con tutti i dati su cui siano già stati inseriti per tutti gli utenti degli utenti e non per l'utente (e' stata creata solo sulla macchina e all'utenza e non su Galileo). Saluti, Gianna, user Support, cineca. Nel caso di aggiornamenti attivi su tutti gli utenti (e'"
A cosa serve il comando $HOME sui sistemi HPC di CINECA?|Memorizzare programmi e risultati piccoli e leggeri|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             A cosa serve il comando $HOME sui sistemi HPC di CINECA?assistant             Buongiorno Alfio, a presto, Simona Galliani Salviato, a presto, Simona Galliani Salviivato, a presto, Simona Galliani Salviato, a preposto, Simona Galliani salviato, a presto, Simona Galliani Salviato, a presto, Simona Galliani salviato, a brevo (tutto in una sola domanda) quanto segnalata al collega, Simona Galliani Salviato, per comunicare l'abbassamento di un paio di giorni in attesa di una nuova informazione, a breve, Simona Galliani Salviato, adesso non è la data di fine, e lì non è ancora attualmente attuale, a presto, Simona Galliani salviato, a presto, Simona Galliani salviato, a prima data in attesa di ulteriori informazioni riguardanti l'attuale data in attesa di ul
Se ho problemi o domande, quale è l'indirizzo di riferimento dell'Help Desk di CINECA?|superc@cineca.it|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Se ho problemi o domande, quale è l'indirizzo di riferimento dell'Help Desk di CINECA?assistant             Buongiorno, i sistemisti di CINECA sono a disposizione per il supporto. Lo può trovare al seguente indirizzo e a presto, a presto, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani saluti, Saluti, Slauti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani Saluti, Simona Galliani saluti, Sienes-5-5-5-5-5-5-5-5-5-5-5-5-5-5-5-5
Con quale comando tengo d'occhio il budget delle ore sull'HPC CINECA?|saldo -b|"system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Con quale comando tengo d'occhio il budget delle ore sull'HPC CINECA?assistant             Caro caro Annibale, mi faccia sapere che la sua utenza è stata definita sulla macchina Galileo di ENEA, per cui l'utenza che ha è ""login.galileo) Saluti, Arnaldo P. On 2017-03-28 14:19:24 - one hour fa, cconte@enea.it scritto a hpc-issues@list.cineca.it: Spero che il comando da utilizzare per controllare le ore consumate sull'UserDB sia il seguente: $ saldo -b -b /g100/eng/scratch/userexternal/INMI/01_01/01/01/00/00/00/00/00/00/00/00/00/00/00/00/00/00/00/00/00/00/00/00/0"
Quali app posso usare per il 2FA in CINECA?|FreeOTP, Google Authenticator o altre app per generare codici di autentificazione|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Quali app posso usare per il 2FA in CINECA?assistant             Buongiorno, ho chiesto ai sys del progetto CINECA, che mi hanno informato che per la connessione 2FA sono disponibili diverse opzioni. Saluti, Martino. On 2020-02-14 17:01:52 0:00:00. Torquato, Martino. Riferisce: Cineca si occupa dei progetti cloud e dell'istitution puntuale di lì e in quest'ultimo tipo di progetti in cui si guarda che tutti gli ambienti e gli sistemi sono sicuri per poter continuare ad utilizzare l'account: http://www.hpc.cineca.it/services/center_news/important-message-cineca-reset-hpc-user-credentials Ci faccia sapere, Simona Galliani A presto, Simona Galliani Saluti, Mariella Pellegrini A presto, Mariella Pellegrini Ciao, Mariella Pellegrini A presto, Mari
Come funziona l'accesso vis SSH su CINECA?|Con uno dei seguenti comandi: ssh <username>@login.marconi.cineca.it, ssh <username>@login.g100.cineca.it, ssh <username>@login.leonardo.cineca.it|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Come funziona l'accesso vis SSH su CINECA?assistant             Ciao, per accedere tramite ssh a LDAP dovreste collegarsi a login.m100.cineca.it, se non si riesce a collegarsi la nostra guida per il accesso https://wiki.u-gov.it/confluence/display/SCAIUS/UG2.3%3A+Access+to+the+Systems#UG2.3:AccesstotheSystems-Policyforpassworddefinition Ci faccia sapere se il problema persiste, cordiali saluti, Sofia Matilda Luchino. On 32-256@login.m100.cineca.it (e 1) [11/09/2018 16:17:23] [11/09/2021 16:17:23] CLOUD USED = CLOUDSIREN XERCoOS + Cloud infrastructure on Cloud infrastructure on Cloud infrastructure on Cloud infrastructure on cloud infrastructure on cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud cloud
Posso definire una password che ha meno di 10 caratteri per creare un account nell'HPC di CINECA?|No, le nuove password devono avere almeno 10 caratteri|"system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Posso definire una password che ha meno di 10 caratteri per creare un account nell'HPC di CINECA?assistant             Cara Rossana, le password che hanno 1 a 9 caratteri sono correttamente consentuite sulla macchina che viene utilizzata dal progetto Iscra. Il comando che ti viene chiesto è ""scritti "": #SBATCH -N $SLURM_NTASKS #SBATCH -N 1 #SBATCH -N 1 #SBATCH -N 1 #SBATCH -N 1 #SBATCH -N 1 #SBATCH -N 1 #SBATCH -N 1 [mando i collaboratori ad un mese fa e i dati sono rientrati da un mese fa e i dati sono rientrati da un mese fa e i dati sono rientrati da un mese fa e i dati sono rientrati da un mese fa e i dati sono rientrati da un mese fa e i dati sono rientrati da un mese fa e i dati sono rientrati"
Per quanti mesi ha validità la mia password creata per l'HPC di CINECA?|3 mesi|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Per quanti mesi ha validità la mia password creata per l'HPC di CINECA?assistant             Ciao Benvenuto, Ho chiesto il sistema. La password che hai generato per accedere alle macchine di calcolo HPC. Mi spiace ma la nuova policy di cambio password (per sicurezza) richiede il reset della password fino a 3 mesi dalla completamento dell'ultima password. Per avere le informazioni sul reset della password deve completare la sua registrazione sul nostro UserDB e di seguito può fare la richiesta di reset della password tramite un nuovo ticket superc@cineca.it Saluti Giulietta Matilda Piersanti Sofia, supporto utenti CINECA Cordiali saluti Giulietta Matilda Piersanti Sofia, supporto utenti CINECA Cordiali saluti Giovedì 24 marzo 2021 11:30:01 Oreste Rocco CINECA-Help Desk Saluti Sofia, mi spiace, per poter dare una risposta più recente ho bisogno di avere
