Question|Answer|Model_Answer
Qual è il principale sistema HPC di livello Tier-0 attualmente ospitato da CINECA?|LEONARDO|"Qual è il principale sistema HPC di livello Tier-0 attualmente ospitato da CINECA? (dal 2020)  Risposta: il principale sistema HPC di livello Tier-0 attualmente ospitato da CINECA è Maestro, un cluster di 152.000 CPU, che utilizza la tecnologia IBM Power9 e il sistema operativo Linux. Maestro è considerato tra i più potenti computer del mondo e rappresenta la piattaforma di riferimento per le applicazioni scientifiche e di ricerca di CINECA. Inoltre, Maestro è anche il sistema che ospita il cloud di CINECA, che offre servizi di calcolo e storage di alta disponibilità per le applicazioni scientifiche e di ricerca. (Source: CINECA, ""Maestro: il sistema HPC di riferimento di CINECA"")   Nota: il termine ""Tier-0"" si riferisce a un sistema HPC che raggiunge o supera il petaflop di performance (1 petaflop = 1 milione di miliardi di operazioni al secondo). Il ranking delle prestazioni dei supercomputer è mantenuto da vari organi, tra cui il Top500 e il Green500. (Source: Top500, ""About the List"")"
In quale città italiana si trova il supercomputer LEONARDO?|Bologna|"In quale città italiana si trova il supercomputer LEONARDO? - Pavia  Il supercomputer LEONARDO è situato presso il Politecnico di Milano, in Italia. Tuttavia, il suo sito principale è situato a Pavia, città italiana situata nella regione Lombardia.  Il supercomputer LEONARDO è il più potente supercomputer italiano e uno dei più potenti al mondo, con una potenza di calcolo di 12 petaflop. È stato inaugurato nel 2020 e fa parte del progetto ""HPC Italia"" che si propone di creare un ecosistema di innovazione tecnologica e di ricerca a livello nazionale.  In realtà, l'installazione del supercomputer LEONARDO è stata realizzata in due fasi: la prima fase ha visto la installazione di un primo lotto di 24 nodi a Pavia, presso il campus del Politecnico di Milano, mentre la seconda fase ha visto l'installazione di un secondo lotto di 24 nodi presso il Politecnico di Milano, a Milano.  In ogni caso, il supercomputer LEONARDO è gestito dal CNR (Consiglio Nazionale delle Ricerche) e dall'Università degli Studi di Milano, in collaborazione con il Politecnico di Milano e il"
Qual è il primo step per entrare nei cluster HPC di CINECA?|Ottenere uno username nel database e una password|Qual è il primo step per entrare nei cluster HPC di CINECA? (ITA) Ciao, sto cercando di accedere ai cluster HPC di CINECA, ma non so dove iniziare. Qual è il primo passo che devo seguire? Per accedere ai cluster HPC di CINECA, devi seguire questi passaggi:  1. **Crea un account CINECA**: se non hai già un account, devi creare uno. Per far questo, vai sul sito web di CINECA e segui le istruzioni per la registrazione. È necessario fornire alcune informazioni personali e accettare i termini di servizio. 2. **Accedi al sistema di autenticazione**: una volta creato l'account, accedi al sistema di autenticazione CINECA utilizzando le credenziali (nome utente e password) create durante la registrazione. 3. **Richiedi l'accesso ai cluster HPC**: una volta acceduto al sistema di autenticazione, devi richiedere l'accesso ai cluster HPC. Puoi farlo scrivendo un'e-mail all'indirizzo [hpc-help@cineca.it](mailto:hpc-help@cineca.it) e fornendo alcune informazioni (ad esempio, il tuo nome, l'indirizzo email, il nome del tuo account
A cosa serve il comando $HOME sui sistemi HPC di CINECA?|Memorizzare programmi e risultati piccoli e leggeri|A cosa serve il comando $HOME sui sistemi HPC di CINECA? In questo documento viene spiegato il significato e l'utilizzo del comando $HOME sui sistemi HPC di CINECA. 1. What is $HOME? In Unix-like systems, the $HOME variable is a standard environment variable that points to the user's home directory. This directory is the user's personal directory, where they can store their files, configurations, and other personal settings. 2. Why is $HOME important on HPC systems? On High-Performance Computing (HPC) systems like those at CINECA, the $HOME variable is particularly important because it allows users to access and manage their own files and directories in a distributed environment. Here are a few reasons why:     - File management: By setting the $HOME variable, users can access their own files and directories from anywhere on the HPC system, making it easier to manage and organize their data.     - Scripting and automation: The $HOME variable is often used in scripting and automation tasks, such as setting up workflows, running batch jobs, and managing dependencies. By setting the $HOME variable, users can ensure that their scripts and jobs are executed in the correct directory.     - Personalization: The $HOME variable allows users to personalize their environment by setting up custom configurations, aliases, and other settings in their home directory. 3. How to set the $HOME variable on CINECA's HPC systems
Se ho problemi o domande, quale è l'indirizzo di riferimento dell'Help Desk di CINECA?|superc@cineca.it|Se ho problemi o domande, quale è l'indirizzo di riferimento dell'Help Desk di CINECA?   Il punto di riferimento per la gestione di problemi e richieste di aiuto presso CINECA è l'Help Desk, che può essere contattato in diversi modi:  * E-mail: helpdesk@cineca.it * Tel: +39 051 6399 131 * Fax: +39 051 6399 130 * Pagina di contatto sul sito web di CINECA: <https://www.cineca.it/it/contatti/help-desk>  Il personale dell'Help Desk è disponibile per aiutare i utenti a risolvere problemi e a gestire richieste di aiuto relativi a tutti i servizi e prodotti offerti da CINECA.   Inoltre, è possibile contattare il personale del Supporto tecnico delle applicazioni e dei servizi (STAS) presso l'indirizzo stas@cineca.it o +39 051 6399 132 per ottenere assistenza tecnica specifica per le applicazioni e i servizi di CINECA.   In ogni caso, si prega di fornire tutte le informazioni necessarie per poter meglio comprendere il problema e fornire una soluzione efficace.
Con quale comando tengo d'occhio il budget delle ore sull'HPC CINECA?|saldo -b|"Con quale comando tengo d'occhio il budget delle ore sull'HPC CINECA?  ---------------------------  Per tenere d'occhio il budget delle ore sull'HPC CINECA, puoi utilizzare il seguente comando: ``` showq -l -u <username> -p <project> -r ``` Dove `<username>` è il tuo username CINECA, `<project>` è il tuo progetto CINECA e `-r` indica di mostrare solo i job con stato ""running"" (in esecuzione).  Il comando `showq` è il comando di default per visualizzare la coda di esecuzione dei job sul sistema CINECA.  Il flag `-l` indica di mostrare la lista dei job, `-u` specifica il tuo username e `-p` il tuo progetto.  Il flag `-r` specifica di mostrare solo i job con stato ""running"", ovvero i job che sono attualmente in esecuzione.  In questo modo, potrai visualizzare il budget delle ore dedicate ai job in esecuzione e potrai monitorare il tuo utilizzo delle ore sull'HPC CINECA.  Nota che è importante controllare regolarmente il budget delle ore per evitare di superare i limiti di utilizzo assegnati al tuo progetto.  ---------------------------  Ecco un esempio di output del comando: ``"
Quali app posso usare per il 2FA in CINECA?|FreeOTP, Google Authenticator o altre app per generare codici di autentificazione|Quali app posso usare per il 2FA in CINECA? (2FA on CINECA)  CINECA has implemented a 2FA (Two-Factor Authentication) system to provide an additional layer of security for users accessing its systems and services. The following 2FA methods are available for CINECA users:  1. Google Authenticator (Google Authenticator App): This is a widely used 2FA app that provides a time-based one-time password (TOTP) token. You can download the Google Authenticator app on your smartphone or tablet and scan the QR code provided by CINECA to set up 2FA. 2. Authy (Authy App): This is another popular 2FA app that provides a TOTP token. You can download the Authy app and scan the QR code provided by CINECA to set up 2FA. 3. Microsoft Authenticator (Microsoft Authenticator App): This is a 2FA app developed by Microsoft that provides a TOTP token. You can download the Microsoft Authenticator app and scan the QR code provided by CINECA to set up 2FA. 4. SMS-based 2FA (SMS): CINECA also offers SMS-based 2FA, where you receive a one-time password (OTP) via SMS. You will need to register your mobile phone number with CINECA to use this method. 5. U2F-based 2FA (Yubi
Come funziona l'accesso vis SSH su CINECA?|Con uno dei seguenti comandi: ssh <username>@login.marconi.cineca.it, ssh <username>@login.g100.cineca.it, ssh <username>@login.leonardo.cineca.it|Come funziona l'accesso vis SSH su CINECA? - CINECA Come funziona l'accesso vis SSH su CINECA? Per accedere al servizio di accesso vis SSH su CINECA è necessario avere un account attivo e configurato sul sistema di autenticazione CINECA. Per accedere vis SSH è necessario seguire i seguenti passaggi:  1. Verificare di avere un account attivo e configurato sul sistema di autenticazione CINECA. 2. Verificare di avere configurato il client SSH sul proprio computer. 3. Aprire il client SSH e digitare il seguente comando: 	* `ssh username@ssh.cineca.it` 	* sostituire `username` con il proprio username CINECA. 4. Inserire la password di accesso al servizio di autenticazione CINECA. 5. Se la configurazione del client SSH è corretta, il sistema di autenticazione CINECA effettuerà la verifica delle credenziali e concederà l'accesso al servizio vis SSH.  Nota:  * Il servizio di accesso vis SSH è disponibile solo per gli utenti con un account attivo e configurato sul sistema di autenticazione CINECA. * È consigliabile utilizzare un client SSH aggiornato e configurato correttamente per evit
Posso definire una password che ha meno di 10 caratteri per creare un account nell'HPC di CINECA?|No, le nuove password devono avere almeno 10 caratteri|Posso definire una password che ha meno di 10 caratteri per creare un account nell'HPC di CINECA? È consigliabile utilizzare un'altra password più lunga e complessa per ragioni di sicurezza.  No, non è consigliabile utilizzare una password con meno di 10 caratteri. La sicurezza delle password è molto importante per proteggere la tua identità e i tuoi dati all'interno dell'HPC di CINECA. Le password brevi e semplici sono facilmente dimenticate e, soprattutto, sono facilmente indovinate da attaccanti informatici.  La Federal Information Processing Standard (FIPS) 112, che è un standard federale statunitense per la gestione delle password, consiglia di utilizzare password con almeno 12 caratteri e di combinarli con lettere, numeri e simboli.  Inoltre, il CINECA, come molti altri centri di calcolo, ha specifiche policy per la gestione delle password che richiedono di utilizzare password lunghe e complesse.  Per creare un account nell'HPC di CINECA, è consigliabile utilizzare una password lunga almeno 12 caratteri, composta da combinazioni di lettere maiuscole e minuscole, numeri e simboli. È anche importante evitare
Per quanti mesi ha validità la mia password creata per l'HPC di CINECA?|3 mesi|Per quanti mesi ha validità la mia password creata per l'HPC di CINECA? In generale, come vanno gestite le password dell'HPC di CINECA?  La validità delle password create per l'HPC di CINECA è di 6 mesi. In generale, CINECA gestisce le password degli utenti in base alle seguenti regole:  * La validità delle password è di 6 mesi; * Le password vengono rinnovate ogni 6 mesi; * Gli utenti possono modificare la propria password in qualsiasi momento; * Le password vengono bloccate dopo 3 tentativi di accesso errati e possono essere ripristinate solo tramite il servizio di assistenza tecnica; * Le password sono criptate e vengono memorizzate in un database sicuro; * CINECA utilizza sistemi di gestione delle password avanzati per proteggere le credenziali degli utenti.  È importante che gli utenti si assicurino di conservare la loro password sicura e di non condividere le credenziali con terzi. In caso di perdita o dimenticanza della password, gli utenti devono contattare il servizio di assistenza tecnica per ottenere assistenza. È anche importante notare che CINECA può modificare o
