Question|Answer|Model_Answer
What is the main Tier-0 HPC system currently hosted by CINECA?|LEONARDO|"Sei un assistente per il gruppo di User Assistance and Support presso il consorzio CINECA. Usa i seguenti pezzi di contesto, quando presenti, per rispondere alla domanda alla fine.  > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr....... -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs. In this case, the environment variable GMON_OUT_PREFIX must be defined in order to allow to each task to write"
In which Italian city is the LEONARDO supercomputer located?|Bologna|"You have a question about gprof and profiling, Sei un assistente per il gruppo di User Assistance and Support presso il consorzio CINECA. The gprof command allows you to view and understand the performance of the MPI program. Here are a few suggestions for this. Let's take the following example: myexec gmon.out > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs. In this case, the environment variable GMON_OUT_PREFIX must be defined in order to allow to each task to write a different statistical file. Setting our suggestion is"
What is the first step to access CINECA's HPC clusters?|Obtain a username in the database and a password|Ahaha, you have the curiosity to learn, I like that! For the first step to access CINECA's HPC clusters, you should login to the login nodes. You can access it by using one of the following: login01-ext.leonardo.cineca.it, login02-ext.leonardo.cineca.it, login05-ext.leonardo.cineca.it, login07-ext.leonardo.cineca.it, and login14. When you will access it, you will be asked to enter your username and password. Just a heads up, remember to set up the SSH keys before trying to login (I will give you a hint, follow the links: https://wiki.u-gov.it/confluence/display/SCAIUS/UG2+access+to+the+systems). Once you login to one of the login nodes, you can submit your jobs (batch scripts) and run your codes on the actual compute nodes. Do you want me to
What is the purpose of the $HOME command on CINECA's HPC systems?|Store small and light programs and results|"You can use an Nsight System GUI on your workstation to visualize the qdrep files that you have generated on your job on Leonardo. Here is a suggestion of how you can run the command inside your job script and download the qdrep files on your local PC: you can run the profiler inside your job script in order to generate the qdrep files. Then you can download the qdrep files on your local PC and visualize them with the Nsight System GUI available on your workstation. The profiler is available under the module nvhpc. Standard usage of an MPI job running on GPU is: RAM | 512 (8x64) GB DDR4 3200 MHz | (16 x 32) GB DDR5 4800 MHz | Peak Performance | about 309 Pflop/s | 9 Pflops/s | Internal Network | NVIDIA Mellanox HDR DragonFly++ 200Gb/s2 x NVIDIA HDR 2×100 Gb/s cards1"
If I have problems or questions, what is the reference address for CINECA's Help Desk?|superc@cineca.it|"The gprof command is used to collect the time spent in the functions of a program. The gmon.out file contains the statistics of the function calls of a program. If you use -pg flag to gfortran when compiling the program, the resulting executable will generate the gmon.out file at runtime. After the run is finished, you can use the following command to generate a gmon.out file that is human-readable. You can use the following commands: > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr....... -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out >"
Which command allows me to monitor the budget of hours on CINECA's HPC?|saldo -b|"The command you need is: **saldo** (Italian for ""balance"" that shows the budget of hours in our HPC). To get the number of hours available and consumed you can use: saldo -b -u saldo -b -u -d <start-date> <end-date>  Also, to get the total budget of hours on all the systems (not just on the HPC one), you can use: saldo -b -a -u You will need to log in to the cluster, as saldo is a command that is only available from within the cluster. Let me know if you need any further information. Thanks!"
Which apps can I use for 2FA in CINECA?|FreeOTP, Google Authenticator, or other apps to generate authentication codes|Hi, you will be using Leonardo, the HPC system of CINECA. Now let's start the analysis. Here, we have two user guides: one for Booster and one for Data Centric General Purpose (DCGP). For the latter, as you can see, it is in the pre-production phase, so I would like to point you to the most recent guide and the link is available on the top left. I also see you have installed the gprof profiler, nice! If you have an MPI program you can use the option -annotated-source for more in-depth profiling. At any rate, you will have to define a specific environment variable to allow each task to write its own gmon.out file. By the way, as a side note you can always update the module by using spack in case the software you are looking for is not available. On to the final answer, in this environment you can choose the following authentication apps: Aegis Authenticator, Authy
How does SSH access work at CINECA?|With one of the following commands: ssh <username>@login.marconi.cineca.it, ssh <username>@login.g100.cineca.it, ssh <username>@login.leonardo.cineca.it|"Hello, we have a suggestion for you. The Nvidia Nsight System (GPU profiler) is not installed on the LEONARDO partition as a module yet. We have already announced the availability of this module in the UserGuide. At this time, we have been running Nvidia Nsight System on LEONARDO partition. Our suggestion is to run the CLI inside your job script in order to generate the qdrep files. Then you can download the qdrep files on your local PC and visualize them with the Nsight System GUI available on your workstation. The profiler is available under the module nvhpc. The standard usage of an MPI job running on GPU is $ gprof myexec gmon.out. It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: $ gfortran -pg -g -O3 -o"
Can I define a password with fewer than 10 characters to create an account on CINECA's HPC?|No, new passwords must be at least 10 characters long|"Dear Leonardo, unfortunately the answer is NO. At the Leonardo supercomputer, it is not possible to define a password with fewer than 10 characters to create an account. CINECA has a defined policy for password creation. Please make sure your password is at least 10 characters long, including letters, numbers, or special characters. If you have further questions or concerns about the user registration process, please feel free to ask our support team. For more information, please refer to our policy for creating new users and accounts on our systems. Please be aware of the following pezzi of contesto, when present, to respond to your question at the end: Atos BullSequana XH21355 ""Da Vinci"" blade | Atos BullSequana X2610 compute blade | Racks | 150 | Nodes | 3456 | 1536 | Processors | 32 cores Intel Ice Lake Intel(R) Xeon(R) Platinum 8358 CPU @"
For how many months is my password valid after it is created for CINECA's HPC?|3 months|"Sei un assistente per il gruppo di User Assistance and Support presso il consorzio CINECA. Usa i seguenti pezzi di contesto, quando presenti, per rispondere alla domanda alla fine. > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr....... -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs. In this case, the environment variable GMON_OUT_PREFIX must be defined in order to allow to each task to write a different statistical file."
I have exhausted my budget. How long will my username remain active on CINECA?|For an entire year|Dear Antonio, you have asked for information about gprof, Nvidia nvhpc (ex PORTLAND PGI + NVIDIA CUDA), module list, modmap, spack environment and the new GPU profiler. Since Leonardo is currently under testing, you should be aware that the environment is not finalized yet on storage, system configuration, and software stack. Please minimize your occupation on the filesystem. In order to profile your code with gprof, use the command: > gprof myexec gmon.out It is possible to profile MPI programs by setting the environment variable GMON_OUT_PREFIX once the run is finished. Please refer to the section on Nvidia Nsight System and PGI compilers. In the Nvidia Nsight System, the following flags can be used: -O0 Lower level of optimization, -g Produce debugging information, etc. The Nvidia nvhpc (ex PORTLAND PGI + NVIDIA CUDA) has additional flags that can be used. The modmap command can be used to see
